"username","guild","date","messages"
"bmaaa",887981666805628939,"06/06/24",83
"darkknight4433",887981666805628939,"06/06/24",109
"cheesy9726",887981666805628939,"06/06/24",20
"den4k6756",887981666805628939,"06/06/24",371
"vochener",887981666805628939,"06/06/24",30
"bezumni_",887981666805628939,"06/06/24",13
"klasterx",887981666805628939,"06/06/24",124
"ge404_.",887981666805628939,"06/06/24",219
"dasyki01",887981666805628939,"06/06/24",257
"alpha_._._1",887981666805628939,"06/06/24",2
"drive_star.",887981666805628939,"06/06/24",39
"ivan77ru",887981666805628939,"06/06/24",42
"diktator7783",887981666805628939,"06/06/24",11
"savva2211",887981666805628939,"06/06/24",18
"neosyt",887981666805628939,"06/06/24",112
"rey_091.",887981666805628939,"06/06/24",95
"cmpakc",887981666805628939,"06/06/24",3
"kms_po_kun1",887981666805628939,"06/06/24",260
"terrarist",887981666805628939,"06/06/24",68
"zinty8397",887981666805628939,"06/06/24",140
"magical0348",887981666805628939,"06/06/24",134
"sanctum.",887981666805628939,"06/06/24",5
"ancelium0",887981666805628939,"06/06/24",286
"krooger1",887981666805628939,"06/06/24",31
"onemanambulance",887981666805628939,"06/06/24",8
"woodzek",887981666805628939,"06/06/24",8
"exo_mango",887981666805628939,"06/06/24",49
"_goooool",887981666805628939,"06/06/24",234
"ficher89",887981666805628939,"06/06/24",10
"schiz8phrenia",887981666805628939,"06/06/24",24
"tetra_666",887981666805628939,"06/06/24",17
"zxckomaru",887981666805628939,"06/06/24",4
"dankchao_yas",887981666805628939,"06/06/24",1
"ff.tea",887981666805628939,"06/06/24",291
"muwwqo",887981666805628939,"06/06/24",49
"da05342",887981666805628939,"06/06/24",90
"temmi_soup",887981666805628939,"06/06/24",2
"hiki_4",887981666805628939,"06/06/24",4
"genaralsmorc",887981666805628939,"06/06/24",26
"voidseeker333",887981666805628939,"06/06/24",22
"lord5331",887981666805628939,"06/06/24",3
"je11ycat",887981666805628939,"06/06/24",9
"tt47",887981666805628939,"06/06/24",6
"JuniperBot",887981666805628939,"06/06/24",1
"vpopuguy",887981666805628939,"06/06/24",137
"tyberlun",887981666805628939,"06/06/24",38
"wkerzpll.",887981666805628939,"06/06/24",149
"croco455",887981666805628939,"06/06/24",3
"xailes22",887981666805628939,"06/06/24",19
".kadyrbek",887981666805628939,"06/06/24",1
"eblivoechmo",887981666805628939,"06/06/24",1
"ddeday",887981666805628939,"06/06/24",59
"pandhea.",887981666805628939,"06/06/24",1
".main_character.",887981666805628939,"06/06/24",1
"egratrion",887981666805628939,"06/06/24",12
"chumaque",887981666805628939,"06/06/24",1
"regsi37",887981666805628939,"06/06/24",26
"idkpidkpui",887981666805628939,"06/06/24",9
"diovi0022",887981666805628939,"06/06/24",2
"windel410",887981666805628939,"06/06/24",1
"playboyaugust.",887981666805628939,"06/06/24",7
"fantastic_swan_20129",887981666805628939,"06/06/24",1
"suplexx1",887981666805628939,"06/06/24",1
"a.andron",887981666805628939,"06/06/24",7
"3_anton_3",887981666805628939,"06/06/24",19
"yaroslav079567",887981666805628939,"06/06/24",1
"oxero1",887981666805628939,"07/06/24",2
"beka2985",887981666805628939,"07/06/24",1
"fformula",887981666805628939,"07/06/24",1
"bmaaa",887981666805628939,"07/06/24",5
